ID,Start time,Completion time,Geschlecht,Alter,Arbeitserfahrung als ErnährungsberaterIn (in Jahren),"Wie viele Patienten betreuen Sie durchschnittlich pro Monat?
",Wie häufig nutzen Sie bereits Software Applikationen in ihrem Arbeitsalltag,"Welche Ernährungsrichtlinien verwenden Sie in Ihren Beratungen?
","Bei einer Person, von der ein kleiner Teil (~25%) der Lebensmittel-Einkaufsdaten zur Verfügung stehen","Bei einer Person, von der etwa die Hälfte (~50%) der Lebensmittel-Einkaufsdaten zur Verfügung stehen","Bei einer Person, von der ein Grossteil (~75%) der Lebensmittel-Einkaufsdaten zur Verfügung stehen","Bei einer Person, von der alle (100%) Lebensmittel-Einkaufsdaten zur Verfügung stehen","Falls keine Ihrer Bewertungen ""Hoch"" oder ""Sehr hoch"" ist - Was sind Ihre Gründe dafür?","Bei einer Person, von der 1 Monat der Lebensmittel-Einkaufsdaten zur Verfügung stehen","Bei einer Person, von der 3 Monate der Lebensmittel-Einkaufsdaten zur Verfügung stehen","Bei einer Person, von der 6 Monate der Lebensmittel-Einkaufsdaten zur Verfügung stehen","Falls keine Ihrer Bewertungen ""Hoch"" oder ""Sehr hoch"" ist - Was sind Ihre Gründe dafür?2","Bei einer Person, von der ein kleiner Teil (~25%) der Lebensmittel-Einkaufsdaten zur Verfügung stehen2","Bei einer Person, von der etwa die Hälfte (~50%) der Lebensmittel-Einkaufsdaten zur Verfügung stehen2","Bei einer Person, von der ein Grossteil (~75%) der Lebensmittel-Einkaufsdaten zur Verfügung stehen2","Bei einer Person, von der alle (100%) Lebensmittel-Einkaufsdaten zur Verfügung stehen2","Falls keine Ihrer Bewertungen ""Hoch"" oder ""Sehr hoch"" ist - Was sind Ihre Gründe dafür?3","Bei einer Person, von der 1 Monat der Lebensmittel-Einkaufsdaten zur Verfügung stehen2","Bei einer Person, von der 3 Monate der Lebensmittel-Einkaufsdaten zur Verfügung stehen2","Bei einer Person, von der 6 Monate der Lebensmittel-Einkaufsdaten zur Verfügung stehen2","Falls keine Ihrer Bewertungen ""Hoch"" oder ""Sehr hoch"" ist - Was sind Ihre Gründe dafür?4",Falls Sie bei Einzelhaushalt und Mehrpersonenhaushalt zu unterschiedlichen Bewertungen gekommen sind - Was sind Ihre Gründe dafür? ,"Haben Sie an dieser Stelle sonstige Anregungen, Kommentare, oder Gedanken bezüglich der Nutzung von Lebensmittel-Einkaufsdaten?",Vergleichen und Vorschlagen alternativer Produkte zu aktuell gekauften Produkten,Vorschlagen von Mahlzeitenplänen mit spezifischen Lebensmitteln,"Vorschlagen von Empfehlungen in standardisiertem Format (z.B. ""Zuckeraufnahme aus Müsli und Getreideflocken reduzieren"", ""Nahrungsfasern aus Getreideprodukten erhöhen"")",Vorschlagen von Empfehlungen in einem Freitext Feld für weitere Ergänzungen,Vergleich zwischen Ihren vergangenen Empfehlungen und den tatsächlichen Lebensmitteleinkäufen ihres Klienten,Ansicht der Lebensmitteleinkäufe über die Zeit (in Form eines Diagramms oder Ernährungstagebuchs für Lebensmitteleinkäufe),"Nennen Sie bitte noch weitere Anwendungsfälle, die Ihnen wichtig wären. Beschreiben Sie zusätzlich die Relevanz der jeweiligen Anwendungsfälle für Sie und Ihre Klienten.",Wie würden Sie eine digitale Ernährungsberatungsplattform mit Lebensmittel-Einkaufsdaten nutzen um Ihren Klienten Empfehlungen zu geben?,Energieverteilung aus verschiedenen Lebensmittelkategorien,Energieverteilung aus verschiedenen Makronährstoffen,Makronährstoffe aus verschiedenen Lebensmittelkategorien,Nahrungsfasern aus verschiedenen Lebensmittelkategorien,Ratios wie z.B. das Verhältnis von tierischem zu pflanzlichem Protein  ,Mikronährstoffe aus verschiedenen Lebensmittelkategorien,Ausgaben aus verschiedenen Lebensmittelkategorien,Lebensmitteleinkaufshistorie,Rangliste der am häufigsten gekauften Lebensmittelprodukte,Rangliste der am häufigsten gekauften Lebensmittelprodukte pro Lebensmittelkategorie,"Rangliste der Produkte mit dem größten Beitrag an Nährstoffen (z. B. Kohlenhydrate, Fette) und/oder Energie","Gibt es weitere Informationen, die Ihnen für die Erstellung von Ernährungsempfehlungen wichtig wären?",Energiegehalt des Produkts  ,Makronährstoffgehalt des Produkts  ,Mikronährstoffgehalt des Produkts  ,Nahrungsfasergehalt des Produkts  ,Gehalt an zugesetztem Zucker  ,Allergene in der Zutatenliste,Gesamte Zutatenliste,Preis pro Produkt,Preis pro 100g/100ml Produkt,Produktgröße,Nutri-Score,NOVA-Score (zur Angabe des Verarbeitungsgrads der Produkte),"Nachhaltigkeitsinformationen, z. B. CO2-Emissionen ","Gibt es weitere Informationen, die Ihnen für die Empfehlung spezifischer Lebensmittel wichtig wären?","Gibt es noch etwas, das Sie bezüglich Ihrer Erfahrungen und Bedürfnisse als ErnährungsberaterIn mitteilen möchten?
"
1,5/28/24 20:47:20,5/28/24 21:14:01,weiblich,46,12,50-60,3,"Guidelines für klinische Ernährung z.B. von ESPEN und Ernährungsempfehlungen für diverse Krankheitsbilder wie Diabetes, Empfehlungen der SGE, DACH usw.",Gering,Neutral,Hoch,Hoch,,Neutral,Hoch,Hoch,,Sehr gering,Gering,Gering,Hoch,,Neutral,Hoch,Hoch,,,"Es wird nicht einfach sein die Einkäufe von meheren Personen auf eine einzelne Person runterzubrechen. Da müsste man noch andere Fragen im App einbauen wie z.B. wie oft pro Tag essen Sie, wie gross sind Ihre Portionen, wie hoch ist der Gemüseanteil usw. jewils auf Ihrem Teler...?",Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Es sollte die Menge der Makronährstoffe die eingekauft wurden auf den Tag runterrechnen und vergleichen mit dem Soll.,Analysen und Empfehlungen live während der Beratung anzeigen;Analysen und Empfehlungen über einen eigenen (kostenlosen) Zugang zur Plattform für Klienten zugänglich machen;,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Vergleich von IST und SOLL,Wichtig,Wichtig,Neutral,Wichtig,Wichtig,Neutral,Wichtig,Unwichtig,Unwichtig,Neutral,Neutral,Wichtig,Wichtig,"Bei den Mikronährstoffen wären mir vor allem die folgenden wichtig: Calcium, Kalium, Phosphat, Natrium","Ich habe mir überlegt, ob es für dieses Projekt möglich wäre mit der APP Bring zusammenzuarbeiten? Darin kann man ja eine Einkaufsliste führen und sie mit der ganzen Familie teilen. Es ist auch nicht auf einen Laden begrenzt, da man einfach alles was man braucht auf der Liste erfasst und wenn man die Milch beim Bauer gekauft hat nimmt man diese raus und geht z.B. den Rest noch im Coop und/oder Migros usw. einkaufen.  "
2,5/29/24 10:27:51,5/29/24 10:38:33,weiblich,30,3,60,1,Dokumente des SVDE,Gering,Gering,Hoch,Sehr hoch,,Hoch,Neutral,Gering,,Sehr gering,Sehr gering,Gering,Gering,"Wenn eine Person für die gesamte Familie einkauft sind die Daten nicht interpretierbar. Zudem wissen wir nicht ob das eingekaufte auch konsumiert wird. Bspw bei älteren Menschen bleiben oftmals Lebensmittel im Kühlschrank, die gar nicht konsumiert werden.",Gering,Sehr gering,Sehr gering,Einkäufe für mehrere Personen können nicht auf eine Person interpretiert werden.,"Einkauf für einen Mehrpersonenhaushalt kann nicht auf eine Person interpretiert werden (Unterschiedliche Vorlieben, Kinder essen anders als Erwachsene, Männer anders als Frauen)",,Sehr unwichtig,Sehr wichtig,Wichtig,Wichtig,Unwichtig,Wichtig,Alternative Lebensmittel vorschlagen mit bspw. weniger oder mehr kcal,Analysen und Empfehlungen live während der Beratung anzeigen;,Wichtig,Wichtig,Wichtig,Neural,Neural,Unwichtig,Wichtig,Unwichtig,Neural,Wichtig,Wichtig,nein,Wichtig,Wichtig,Neutral,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Sehr unwichtig,Sehr unwichtig,Wichtig,nein,
3,6/6/24 13:48:22,6/6/24 13:59:10,weiblich,31,5,30-50,2,SGE; GESKES; DGE; ESPEN; usw,Neutral,Hoch,Hoch,Sehr hoch,,Hoch,Sehr hoch,Sehr hoch,,Hoch,Hoch,Sehr hoch,Sehr hoch,,Gering,Gering,Gering,Da es sich um ein Mehrpersonenhaushalt handelt ist es schwer einzuschätzen wer nun die Produkte konsumiert,Einzelhaushalt = Einkauf und Zufuhr durch eine Person,,Wichtig,Neutral,Neutral,Wichtig,Wichtig,Wichtig,Ansicht der Umweltbelastung eines Produktes sowie potentielle Ersatze,Analysen und Empfehlungen als PDF exportieren;,Neural,Neural,Wichtig,Wichtig,Wichtig,Wichtig,Unwichtig,Wichtig,Sehr wichtig,Sehr wichtig,Wichtig,Die Themen der Nachhaltigkeit mehr einbinden (wie bspw. bei Eaternity),Wichtig,Wichtig,Wichtig,Wichtig,Neutral,Wichtig,Neutral,Neutral,Wichtig,Wichtig,Sehr unwichtig,Neutral,Sehr wichtig,-,
4,6/6/24 15:48:03,6/6/24 16:05:15,weiblich,40,2,120,5,Richtlinien der WHO,Gering,Neutral,Hoch,Hoch,,Gering,Neutral,Hoch,,Hoch,Hoch,Hoch,Hoch,,Gering,Neutral,Hoch,,"Beim Einzelhaushalt sind die Mengen ganz anders, als beim Einzelhaushalt. Es wird auch für andere Personen eingekauft. ","Es kann sinnvoll sein, bei bestimmten Situationen auf die Lebensmittel-Einkaufsdaten zurückzugreifen. Aber ich sehe es nicht, als tägliche Anwendung in der Ernährungsberatung.",Wichtig,Neutral,Wichtig,Sehr wichtig,Sehr wichtig,Unwichtig,-,Analysen und Empfehlungen live während der Beratung anzeigen;,Wichtig,Wichtig,Wichtig,Wichtig,Neural,Wichtig,Neural,Unwichtig,Wichtig,Wichtig,Wichtig,"Es kommt bei der Beratung auch auf die Indikation an. Manchmal sind Mikronährstoffe nicht das Thema.


",Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Neutral,Wichtig,Wichtig,-,"Ich finde die Idee sehr gut, das man mithilfe der Einkaufsdaten Vergleichsprodukte empfehlen kann. Aber es ist ein kleiner Grad, zwischen ""sich kontrolliert fühlen"" und ""gerne teilen der Daten"".
Viele Pat. haben schon Hemmungen ein Ernährungsprotokoll zu führen. Da ist es sehr intim, zu sehen, was Sie einkaufen. "
5,6/12/24 6:58:34,6/12/24 7:19:55,weiblich,30,7,45,1,"Diverse, je nach Fachgebiet andere ESPEN, DGM, S3, Studien etc.",Sehr gering,Sehr gering,Hoch,Hoch,"nur wenn Mehrheit vorhanden, wirklich Ausschluss über Konsum, ansonsten würden Pat. uns immer sagen, dass sie schon noch andere Sachen einkaufen",Sehr hoch,Sehr hoch,Sehr hoch,"Je nach Patientengruppe (Erkrankungsbild) reicht bereits 1 Monat, z.B. bei Laborwerten die sich bereits schnell verändern",Sehr gering,Sehr gering,Sehr gering,Hoch,"Guter Überblick, kommt aber darauf an ob die Person die einkauft auch die betroffene Person in der Beratung ist. In einem Mehrpersonenhaushalt dann schwierig zuzuordnen, wer welche Lebensmittel isst",Hoch,Hoch,Hoch,6 Monate natürlich ein viel besserer Durchschnitt. Gibt aber auch Krankheiten bei denen 6 Monate zu lang ist. Verlaufskontrollen (bei Veränderungen whs. besser wenn nur der Zeitraum seit der letzten Beratung. Ansonsten verfälscht,"Mehrpersonenhaushalt: schwierig zuzuordnen, wer was isst","Wäre whs. gut wenn man den Zeitraum selbständig auswählen könnte, was wann gekauft wurde. zum Teil geben uns Patientinnen und Patienten an, dass sie dies nicht mehr essen seit bsp. 2 Wochen. Wäre dann spannend dies zu überprüfen. Auch in Verlaufskontrollen, dass man den Zeitpunkt seit der letzten Beratung nehmen könnte. Um die Daten für verschiedene Krankheitsbilder zu nutzen, wäre eine Art Filter spannend, wo man verschiedene LM auswählen könnte. z. B. Süssgetränke",Wichtig,Neutral,Wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Menge definieren. Zum Beispiel für Kohlenhydratmengen welche definiert sind,Analysen und Empfehlungen live während der Beratung anzeigen;Analysen und Empfehlungen als PDF exportieren;,Wichtig,Wichtig,Wichtig,Neural,Neural,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Zeitraum müsste definiert werden können,Sehr wichtig,Sehr wichtig,Wichtig,Wichtig,Neutral,Neutral,Sehr wichtig,Unwichtig,Unwichtig,Sehr wichtig,Unwichtig,Neutral,Unwichtig,Angaben auf 100g und Angaben auf Standardportion,Möglichkeit die Plattform bei Gebrauch anzupassen
6,6/12/24 8:12:38,6/12/24 8:22:01,weiblich,28,4,60,1,"je nach Thema, div. Guidelines der ESPEN oder Empfehlungen der SGE",Neutral,Neutral,Hoch,Hoch,-,Neutral,Hoch,Hoch,-,Sehr gering,Gering,Neutral,Neutral,"Konsum der Einzelperson ist nicht klar, kann jedoch für EA hilfreich sein.",Gering,Neutral,Neutral,"Konsum der Einzelperson ist nicht klar, kann jedoch für EA hilfreich sein.","Konsum der Einzelperson ist nicht klar, kann jedoch für EA hilfreich sein.",-,Sehr wichtig,Neutral,Sehr wichtig,Wichtig,Wichtig,Wichtig,Vergleich Kcal-Mengen und Fett bspw. ,Analysen und Empfehlungen als PDF exportieren;Analysen und Empfehlungen live während der Beratung anzeigen;,Wichtig,Wichtig,Wichtig,Wichtig,Neural,Neural,Neural,Neural,Neural,Neural,Wichtig,-,Sehr wichtig,Sehr wichtig,Neutral,Wichtig,Wichtig,Wichtig,Wichtig,Neutral,Neutral,Wichtig,Sehr unwichtig,Neutral,Neutral,-,-
7,6/12/24 9:52:05,6/12/24 10:02:31,weiblich,28,inkl. Abschlusspraktikum 1.5 Jahre ,80,3,je nach Beratung Guidelines ESPEN etc. SGE etc. ,Gering,Gering,Neutral,Hoch,,Hoch,Sehr hoch,Sehr hoch,,Sehr gering,Gering,Neutral,Neutral,"Nicht aussagekräftig aufgrund Mehrpersonenhaushalt 
Aufwändig dies noch zu besprechen",Neutral,Neutral,Neutral,,Einzelhaushalt zeigt der tatsächliche Konsum des Pat. Mehrpersonen kann verfälschen,,Sehr wichtig,Neutral,Sehr wichtig,Neutral,Sehr wichtig,Wichtig,-,Analysen und Empfehlungen live während der Beratung anzeigen;Analysen und Empfehlungen als PDF exportieren;,Sehr wichtig,Neural,Wichtig,Wichtig,Wichtig,Neural,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,-,Sehr wichtig,Sehr wichtig,Neutral,Wichtig,Sehr wichtig,Neutral,Sehr wichtig,Wichtig,Wichtig,Neutral,Neutral,Neutral,Neutral,-,
8,6/12/24 10:47:01,6/12/24 11:13:52,weiblich,57,36,120,3,"Gesunde, ausgewogene Ernährung zur Gewichtsreduktion (Grundlage Tellermodell/Pyramide, Schweiz. Gesellschaft für Ernährung)
Ernährungsrichtlinien nach bariatrischer Operation (Magenbypass, Gastric Sleeve), Grundlage SMOB-Richtlinien",Gering,Neutral,Hoch,Hoch,,Hoch,Hoch,Hoch,,Gering,Neutral,Hoch,Hoch,,Neutral,Hoch,Hoch,,bei Mehrpersonenhaushalt entstehen mehr Verfälschungen durch die Essgewohnheiten der Familienmitglieder,Die Verwendung der Daten könnte von den betroffenen Personen als Eingriff in ihre Privatsphäre empfunden werden. Es müsste sicher zeitlich abgegrenzt und die Verwendung und Ziele klar kommuniziert werden. ,Sehr wichtig,Neutral,Wichtig,Wichtig,Wichtig,Wichtig,"positives Feedback für geeignete Lebensmittelauswahl
Vergleich Einkäufe zu tatsächlichem Bedarf",Analysen und Empfehlungen live während der Beratung anzeigen;Analysen und Empfehlungen über einen eigenen (kostenlosen) Zugang zur Plattform für Klienten zugänglich machen;Analysen und Empfehlungen als PDF exportieren;,Wichtig,Wichtig,Wichtig,Wichtig,Neural,Wichtig,Neural,Neural,Wichtig,Wichtig,Wichtig,"Die Zubereitung zuhause, diese kann aber nicht über die Einkaufsgewohnheiten erfasst werden.
Mahlzeiten ausser Haus (Restaurant, Kantine, Fastfood) können ebenfalls nicht über die Einkaufsgewohnheiten erfasst werden.",Sehr wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Neutral,Unwichtig,Neutral,Neutral,Wichtig,Neutral,Neutral,Neutral,Getränke,"Grundsätzlich ein wertvolles Hilfsmittel, müsste aber sehr gründlich besprochen werden mit dem Klienten
Essverhalten/Mahlzeitenrhythmus muss separat erfasst werden
Zu beachten: meist wird nicht alles gegessen, was eingekauft wird
Essen ausser Haus kann so nicht erfasst werden
Eine Nutzung bei Mangelernährung (verschiedene Diagnosen) und Ernährung im Alter könnte auch sinnvoll sein"
9,6/12/24 9:52:15,6/12/24 14:05:31,weiblich,30,3 Jahre ,150-200,3,diverse evidenzbasierte Ernährungsrichtlinien ,Sehr gering,Sehr gering,Gering,Neutral,"- Bei einem Einkauf weiss ich nicht, was alles gegessen wurde
- Ich weiss nicht, wie die Mahlzeiten zusammengestellt sind 
- Ich weiss nicht, wann etwas gegessen wurde ",Sehr gering,Sehr gering,Sehr gering,gleich wie Nr. 8 ,Sehr gering,Sehr gering,Sehr gering,Sehr gering,"- ich weiss nicht, was gegessen wurde 
- ich weiss nicht, wer was gegessen hat 
- ich weiss nicht wie die Mahlzeiten zusammengestellt sind 
- ich weiss nicht, wann etwas gegessen wurde ",Sehr gering,Sehr gering,Sehr gering,,"bei einem Mehrpersonenhaushalt weiss man nicht, wer was gegessen hat ","Grundsätzlich ein interessanter Gedanke, die Lebensmittel-Einkaufsdaten in der Ernährungsberatung zu nutzen. Der zeitliche Aufwand, der aber trotzdem betrieben werden muss, um zu erfassen, wie die Ernährung tatsächlich aussieht, schätze ich aber ähnlich ein wie bei einer Ernährungsanamnese ohne Einkaufsdaten, da trotzdem noch sehr viel erfragt werden muss (wer was gegessen hat, was gegessen wurde, wie viel davon, wie Mahlzeiten zusammmengestellt sind, um welche Zeit gegessen wird etc.). ",Wichtig,Neutral,Wichtig,Wichtig,Neutral,Neutral,-,Analysen und Empfehlungen live während der Beratung anzeigen;Analysen und Empfehlungen über einen eigenen (kostenlosen) Zugang zur Plattform für Klienten zugänglich machen;,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Neural,Neural,Neural,Neural,Wichtig,-,Wichtig,Wichtig,Unwichtig,Wichtig,Wichtig,Wichtig,Wichtig,Wichtig,Neutral,Wichtig,Sehr unwichtig,Neutral,Neutral,-,
10,6/12/24 13:05:53,6/12/24 17:10:22,weiblich,36,11,20,1,div. u.a. ESPEN-Guidelines,Sehr gering,Gering,Hoch,Sehr hoch,,Hoch,Sehr hoch,Sehr hoch,,Sehr gering,Gering,Hoch,Sehr hoch,,Neutral,Hoch,Sehr Hoch,,"Einzelhaushalt wird auch das konsumiert, was gekauft wurde. Mehrpersonenhaushalt: unklar, wenn dann effektiv die Chips und Gummibärchen isst, die gekauft wurden und in welchen Verhältnis, falls diese unter den Personen aufgeteilt werden.",,Wichtig,Wichtig,Unwichtig,Neutral,Sehr wichtig,Neutral,"Wichtig: Vergleich zwischen den Lebensmitteleinkäufen pro Monat (Januar wird mit Februar und März und April verglichen) um Verlauf sehen zu können
Wichtig: Einbindung von anthropometrischen Daten (Gewicht, BMI, Bauchumfang etc.)",Analysen und Empfehlungen live während der Beratung anzeigen;Analysen und Empfehlungen als PDF exportieren;,Unwichtig,Wichtig,Unwichtig,Unwichtig,Neural,Wichtig,Wichtig,Neural,Wichtig,Wichtig,Sehr wichtig,"Energiegehalt der eingekauften Produkte auf einen Tag ausgerechnet. Z.B. alle Lebensmittel zusammen, die in einem Monat eingekauft wurden weisen einen totalen Energiegehalt von xy kcal auf. Pro Tag macht dies einen kcal-Gehalt von xy kcal aus. Dabei sollten einzelne LM für die Berechnung ausgeschlossen werden können (z.B. 1kg Weissmehl). Ideal wird diese kcal/d Angabe  dem kcal-Bedarf der Person gegenübergestellt und zeigt, wie die Abdeckung diesbezüglich ist. ",Sehr wichtig,Sehr wichtig,Neutral,Neutral,Neutral,Neutral,Wichtig,Unwichtig,Sehr unwichtig,Unwichtig,Sehr unwichtig,Sehr unwichtig,Unwichtig,Herkunft des Produkts,Eine solche Plattform wäre enorm wertvoll und würde eine Lücke in der Betreuung der Pat. schliessen
